,host_response_time,host_response_rate,host_is_superhost,host_verification_level,neighbourhood_cleansed,host_identity_verified,is_location_exact,instant_bookable,property_type,room_type,bed_type,Wifi,Heating,Essentials,Smoke detector,Kitchen,Carbon monoxide detector,Hangers,Air conditioning,Shampoo,Hair dryer,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy,reviews_per_month
30,4.0,33.0,0,6.0,South End,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,False,False,True,False,True,False,True,True,279.0,0.0,0.0,0.0,4.0,70.0,8.0,8.0,10.0,9.0,super_strict_30,0.04
31,1.0,100.0,0,6.0,Dorchester,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,False,55.0,100.0,25.0,15.0,234.0,88.0,9.0,9.0,9.0,8.0,flexible,2.2
33,4.0,33.0,0,6.0,Back Bay,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,184.0,0.0,0.0,0.0,21.0,81.0,8.0,9.0,9.0,10.0,super_strict_30,0.24
34,4.0,33.0,0,6.0,Back Bay,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,False,True,False,True,True,False,False,451.0,0.0,0.0,0.0,33.0,88.0,9.0,10.0,9.0,10.0,super_strict_30,0.41
35,3.0,100.0,0,4.0,Charlestown,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,False,True,True,221.0,0.0,25.0,0.0,93.0,99.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,0.88
37,1.0,100.0,0,6.0,Dorchester,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,False,43.0,100.0,25.0,15.0,412.0,88.0,9.0,10.0,10.0,9.0,strict_14_with_grace_period,3.91
39,4.0,33.0,0,6.0,West End,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,249.0,0.0,150.0,0.0,2.0,90.0,10.0,9.0,10.0,10.0,super_strict_30,0.05
40,4.0,33.0,0,6.0,Downtown,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,False,True,True,True,True,True,349.0,0.0,200.0,0.0,6.0,92.0,9.0,10.0,9.0,9.0,super_strict_30,0.07
41,3.0,71.0,0,5.0,Fenway,1,1,0,Apartment,Private room,Real Bed,True,True,False,True,True,True,False,True,True,False,99.0,1000.0,75.0,45.0,71.0,98.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,0.68
42,3.0,75.0,1,4.0,Jamaica Plain,1,1,0,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,95.0,0.0,0.0,20.0,72.0,99.0,10.0,10.0,10.0,10.0,moderate,0.7
43,3.0,100.0,0,4.0,Charlestown,1,0,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,False,184.0,0.0,25.0,0.0,81.0,99.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,0.79
44,2.0,80.0,0,6.0,Charlestown,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,100.0,0.0,100.0,50.0,110.0,92.0,10.0,9.0,9.0,10.0,strict_14_with_grace_period,1.07
45,1.0,100.0,0,6.0,Dorchester,1,1,1,House,Private room,Real Bed,True,True,False,False,True,False,False,True,False,False,50.0,100.0,25.0,15.0,327.0,89.0,9.0,10.0,9.0,9.0,strict_14_with_grace_period,3.19
48,1.0,100.0,0,3.0,Jamaica Plain,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,False,700.0,500.0,150.0,0.0,19.0,93.0,9.0,9.0,9.0,10.0,strict_14_with_grace_period,0.22
49,4.0,33.0,0,6.0,Fenway,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,289.0,0.0,150.0,0.0,5.0,80.0,7.0,8.0,8.0,9.0,super_strict_30,0.06
51,4.0,33.0,0,6.0,Beacon Hill,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,False,True,False,True,True,185.0,0.0,0.0,0.0,7.0,84.0,9.0,9.0,10.0,10.0,super_strict_30,0.11
52,4.0,33.0,0,6.0,Back Bay,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,False,True,False,True,False,True,289.0,0.0,150.0,0.0,5.0,100.0,10.0,8.0,10.0,10.0,super_strict_30,0.05
